IDDOCUMENTO;PRIMOIDENTIFICATIVO;ULTIMOIDENTIFICATIVO;DATASCADENZAAFFITTO;SUPERFICIEUBA;CUAATERZOSOGGETTO;STATO
APPAG.TT.2016.105TN003.003;5857597;;;;;
APPAG.TT.2016.105TN003.003;5857598;;;;;
APPAG.TT.2016.105TN003.003;5857599;;;;;
APPAG.TT.2016.105TN003.003;5857600;;;;;
APPAG.TT.2016.105TN003.003;5857601;;;;;
APPAG.TT.2016.105TN003.003;5857602;;;;;
APPAG.TT.2016.105TN003.003;5857603;;;;;
APPAG.TT.2016.105TN003.003;5857604;;;;;
APPAG.TT.2016.105TN003.003;5857605;;;;;
APPAG.TT.2016.105TN003.003;5857606;;;;;
APPAG.TT.2016.105TN003.003;5857607;;;;;
APPAG.TT.2016.105TN003.003;5857608;;;;;
APPAG.TT.2016.105TN003.003;5857609;;;;;
APPAG.TT.2016.105TN003.003;5857610;;;;;
APPAG.TT.2016.105TN003.003;5857611;;;;;
APPAG.TT.2016.105TN003.003;5857612;;;;;
APPAG.TT.2016.105TN003.003;5857613;;;;;
APPAG.TT.2016.105TN003.003;5857614;;;;;
APPAG.TT.2016.105TN003.003;5857615;;;;;
APPAG.TT.2016.105TN003.003;5857616;;;;;
APPAG.TT.2016.105TN003.003;5857617;;;;;
APPAG.TT.2016.105TN003.003;5857618;;;;;
APPAG.TT.2016.105TN003.003;5857619;;;;;
APPAG.TT.2016.105TN003.003;5857620;;;;;
APPAG.TT.2016.105TN003.003;5857621;;;;;
APPAG.TT.2016.105TN003.003;5857622;;;;;
APPAG.TT.2016.105TN003.003;5857623;;;;;
APPAG.TT.2016.105TN003.003;5857624;;;;;
APPAG.TT.2016.105TN003.003;5857625;;;;;
APPAG.TT.2016.105TN003.003;5857626;;;;;
APPAG.TT.2016.105TN003.003;5857627;;;;;
APPAG.TT.2016.105TN003.003;5857628;;;;;
APPAG.TT.2016.105TN003.003;5857629;;;;;
APPAG.TT.2016.105TN003.003;5857630;;;;;
APPAG.TT.2016.105TN003.003;5857631;;;;;
APPAG.TT.2016.105TN003.003;5857632;;;;;
APPAG.TT.2016.105TN003.003;5857633;;;;;
APPAG.TT.2016.105TN003.003;5857634;;;;;
APPAG.TT.2016.105TN003.003;5857635;;;;;
APPAG.TT.2016.105TN003.003;5857636;;;;;
APPAG.TT.2016.105TN003.003;5857637;;;;;
APPAG.TT.2016.105TN003.003;5857638;;;;;
APPAG.TT.2016.105TN003.003;5857639;;;;;
APPAG.TT.2016.105TN003.003;5857640;;;;;
APPAG.TT.2016.105TN003.003;5857641;;;;;
APPAG.TT.2016.105TN003.003;5857642;;;;;
APPAG.TT.2016.105TN003.003;5857643;;;;;
APPAG.TT.2016.105TN003.003;5857644;;;;;
APPAG.TT.2016.105TN003.003;5857645;;;;;
APPAG.TT.2016.105TN003.003;5857646;;;;;
APPAG.TT.2016.105TN003.003;5857647;;;;;
